Nr,Navn,Inndeling,Rnr,Region,Fnr,Fylke,År,Folkemengde,Antall personer 6-15,SKS tildelinger,Forfattere,Musikere og komponister,Film- og scenekunstnere,Visuelle kunstnere,Kulturformidling,Kunstnerisk Produksjon,Media,Total Besøk,Betalende Besøk,Utstillinger og arrangementer,Billettselskap Arrangementer,Billettselskap Omsetning,Filmfremvisninger,Kinobesøk,Mangfold filmframvisniger,Mangfold kinobesøk,Besøk,Voksne aktive lånere,Utlån,Arrangement deltakere,Teater Forestillinger,Teater Publikum,Dans Forestillinger,Elever,Timer,Mangfold Timer,Publikum,Mangfold Publikum,Frifond,Riksantikvar og Kulturminnefond,Norsk Kulturråd,Historielag,Husflidlag,Kor,Korps,MVA Refusjon,Voksenopplæring,Kunstlag
0,Norge,Land,,,,,2014,5109056,618117,46.57461574,0.114306831,2.387720941,0.596391975,0.965148943,7.646030891,6.414492227,8.256319758,2.074309618,1.154171534,,2.721637813,295.3955897,69.06598792,2.150908504,1,1,4.194195366,133.0151793,4.540798926,,1.835368412,0.339885724,0.251514174,0.166282435,2.011923309,1,5.065024906,1,3.46187143,36.89210257,55.30140989,13.86537944,4.829659334,16.87219713,12.26488807,15.97998613,12.94583579,
0,Norge,Land,,,,,2015,5165802,622464,48.07670716,0.11614847,2.369428793,0.614618988,0.967516757,7.408336595,5.496919936,7.425371704,2.098680128,1.107715704,,3.368112057,329.4296644,68.08971772,2.311356688,1,1,4.337018724,128.9296415,4.401243989,0.123529706,1.853342424,0.34584717,0.215648993,0.164525177,1.993572319,1,4.863657979,1,2.729280371,42.9038221,46.58326045,12.91783928,4.797318984,16.78016308,12.15842187,15.47257657,13.09477212,
0,Norge,Land,,,,,2016,5213985,628122,49.37692072,0.117568424,2.318955655,0.657846158,0.944766815,7.443826555,5.212903374,7.082490648,2.198381468,1.11140922,,3.284819577,356.1594719,70.89893814,2.499340332,1,1,4.59295395,112.8555222,4.258662424,0.145163824,1.934604722,0.337100701,0.228424132,0.159355985,1.988476761,1,5.004155244,1,3.549793488,45.32965457,50.17848018,13.30153424,4.757014069,16.72540293,11.84679281,16.82618535,12.81649257,3.129659943
0,Norge,Land,,,,,2017,5258317,633253,49.88962438,0.306752141,2.614905111,0.748338299,1.279496843,7.591021994,5.326038731,6.860369962,2.098390226,1.103674427,2.882291045,4.638176055,400.975812,71.69061888,2.215950465,1,1,4.626083973,122.4387955,4.053357186,0.033726,1.724315974,0.323995206,0.2297313,0.155853979,1.989628158,1,4.440784331,1,3.561557434,54.17773424,51.39340705,13.94647755,4.869809104,16.54464727,11.61036887,17.98416642,13.12378086,2.8712609
0,Norge,Land,,,,,2018,5295619,637687,52.05241918,0.312711319,2.630476248,0.752131148,1.272183667,7.85517236,6.340712955,6.995216234,2.039498876,1.03559074,3.048557685,4.971467925,403.1520857,75.41875652,2.287602639,1,1,4.696324075,116.4075437,3.954756375,0.042099705,1.667982534,0.33622094,0.237554854,0.155438326,1.990536109,1,4.252006078,1,2.59872623,55.44769346,55.5429777,13.43336822,4.309788903,16.33350133,11.65548352,19.65122151,20.41555482,2.94790845
1,Østfold,Fylke,,,1,Østfold,2014,284962,34522,19.20306918,0.070184797,1.568630203,0.185989711,0.649209368,3.579424625,3.979477965,3.326759357,0.416241464,0.10645279,,2.154673255,165.8825422,73.60279616,1.845460096,10,11,2.790179041,116.2400601,4.236017434,,0.368470182,0.075587929,0.052638597,0.085221018,1.061728753,16,5.088783964,14,2.409791481,48.07302728,13.21228795,14.15978271,3.000400053,15.17395302,9.597770931,9.684740422,12.87540093,
1,Østfold,Fylke,,,1,Østfold,2015,287198,34625,19.43667783,0.076602205,1.559899442,0.191505512,0.633709148,3.62815897,3.488882235,2.527872757,0.410852443,0.21575011,,2.43386096,177.0685485,74.03603089,2.023572588,10,11,3.187553534,105.0181408,4.100540394,0.091410804,0.99931058,0.210220823,0.104457552,0.079768953,1.049732852,16,5.272057762,8,1.76010975,30.81647644,11.66094471,12.38866566,2.799462392,14.69021372,9.098252773,9.493210259,13.72224041,
1,Østfold,Fylke,,,1,Østfold,2016,289867,35130,22.27785502,0.079346735,1.473089382,0.19319205,0.620974447,3.732746397,3.187668827,2.566694381,0.460911383,0.156585607,,3.153170247,181.9642077,75.58983948,2.253357574,11,9,3.135265484,111.0923286,4.049626208,0.071567305,0.417432823,0.103554389,0.027598864,0.072615998,1.045858241,17,5.01283803,11,3.208367976,51.99584292,10.63039256,14.32726043,2.859932314,14.72744397,9.124874511,10.48884488,14.91718616,4.015634757
1,Østfold,Fylke,,,1,Østfold,2017,292893,35259,20.271676,0.215095615,1.628581086,0.22875248,0.706742735,3.940005394,3.182049417,2.451407169,0.560289935,0.144636437,0.662357926,4.547735863,241.3737542,77.77925727,1.971662006,8,7,3.269525048,107.1312732,3.938096848,0.009003288,0.744299113,0.115287835,0.040970593,0.072009983,1.030999178,16,4.40412377,12,2.51540665,63.48608468,18.69624744,14.15192579,2.905497912,14.28508022,8.726736385,10.32463391,13.85488899,3.386902384
1,Østfold,Fylke,,,1,Østfold,2018,295420,35334,21.84611739,0.216640715,1.607880306,0.23018076,0.721007379,4.238033986,4.231263963,2.491368222,0.485613703,0.121488051,0.822557714,5.595423465,281.6748291,77.06316431,2.023749238,8,7,3.193324758,104.1094036,3.806499221,0.01516485,0.43328143,0.05752488,0.08801029,0.075989132,1.0209147,16,4.249674534,10,1.546950105,56.91869474,10.8794259,14.05456638,2.680928847,14.57924311,9.041364837,12.33328481,17.94732923,3.669352109
