let WebInput = `Nr,Navn,Inndeling,Fnr,Fylke,Rnr,Region,År,Produktivitet,Bransjejustert produktivitet,Arbeidsplassvekst,Bransjejustert arbeidsplassvekst,Lønnsomhet,Bransjejustert lønnsomhet,Egenkapital,Etableringsfrekvens,Bransjejustert etableringsfrekvens,Foretaksvekst,Bransjejustert foretaksvekst,Størrelse,Produktivitet Score,Bransjejustert produktivitet Score,Arbeidsplassvekst Score,Bransjejustert arbeidsplassvekst Score,Lønnsomhet Score,Bransjejustert lønnsomhet Score,Egenkapital Score,Bransjejustert etableringsfrekvens Score,Etableringsfrekvens Score,Foretaksvekst Score,Bransjejustert foretaksvekst Score,Størrelse Score,Produktivitet Indeks,Arbeidsplassvekst Indeks,Lønnsomhet Indeks,Nyetablering Indeks,Størrelse Indeks,Næringsindeks
0,Norge,Land,,,,,2009,526.73,0,-2.64,0,60.32,0,83.67,6.41,0,2.27,0,36.62,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2010,542.51,0,0.32,0,60.77,0,83.74,6.59,0,1.93,0,36.29,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2011,566.5,0,1.6,0,60.11,0,84.01,6.8,0,2.41,0,36.4,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2012,597.58,0,1.17,0,62.43,0,84.14,7.34,0,3.62,0,36.35,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2013,587.87,0,0.58,0,62.5,0,84.59,7.3,0,2.88,0,36.08,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2014,623.59,0,1.18,0,61.58,0,83.66,7.22,0,2.61,0,36.1,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2015,675.9,0,-3.94,0,60.66,0,83.37,7.43,0,2.05,0,34.3,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2016,677.72,0,-0.32,0,60.34,0,83.2,7.44,0,2.74,0,33.87,,,,,,,,,,,,,,,,,,
1,Østfold,Fylke,1,Østfold,,,2009,417.18,-59.64,-4.28,-1.15,59.49,-0.97,82.43,6.22,-0.14,1.93,-0.18,30.21,39.4,42.31,19.52,23.9,34.8,31.8,24.94,50.25,55.67,46.68,37.5,37.47,40.85,21.71,30.51,47.52,37.47,35.61
1,Østfold,Fylke,1,Østfold,,,2010,443.01,-70.85,-0.37,-0.12,61.51,0.59,82.46,6.47,-0.06,1.84,0.14,29.75,38.66,39.74,36.06,40.69,61.12,55.14,26,55.4,57.5,55.99,57.8,36.61,39.2,38.38,47.42,56.67,36.61,43.66
1,Østfold,Fylke,1,Østfold,,,2011,452.87,-74.41,0.32,-1.03,61.82,1.42,83,6.6,-0.23,2.08,-0.76,29.51,37.36,39,38.68,39.36,64.05,60.32,29.31,49.31,56,49.34,35.12,35.99,38.18,39.02,51.23,47.44,35.99,42.37
1,Østfold,Fylke,1,Østfold,,,2012,500.53,-67.82,-0.6,-1.06,63.61,0.92,82.92,7.25,-0.13,3.38,-0.15,28.96,41.92,41.33,27.12,28.59,63.77,58.04,27.54,53.69,58.99,54.18,45.29,34.71,41.63,27.86,49.78,53.04,34.71,41.4
1,Østfold,Fylke,1,Østfold,,,2013,475.71,-72.93,-0.41,-0.84,63.7,1.04,83.15,7.27,-0.06,2.97,0.23,28.47,36.79,38.65,31.97,29.19,66.56,62.78,26.03,56.9,60.07,62.41,70.16,33.7,37.72,30.58,51.79,62.39,33.7,43.23
1,Østfold,Fylke,1,Østfold,,,2014,501.55,-77.17,1.05,-0.05,62.88,1.2,82.28,7.06,-0.19,2.44,-0.01,28.47,36.8,39.05,53.64,54.57,67.45,64.38,27.47,51.24,57.41,54.1,53.5,33.76,37.93,54.1,53.1,54.06,33.76,46.59
1,Østfold,Fylke,1,Østfold,,,2015,563.97,-88.23,-4.02,-0.35,63.21,2.3,82.04,7.48,0.02,2.11,0.26,27.11,35.93,34.42,52.97,48.31,66.55,64.52,26.24,59.18,61.22,62.42,68.64,34.09,35.18,50.64,52.44,62.87,34.09,47.04
1,Østfold,Fylke,1,Østfold,,,2016,582.08,-73.99,0.09,-0.06,62.38,1.74,81.86,6.98,-0.47,2.08,-0.46,26.88,33.35,36.55,53.02,48.42,59.02,57.2,25.38,41.41,50.85,38.27,28.42,33.96,34.95,50.72,47.2,39.74,33.96,41.31
2,Akershus,Fylke,2,Akershus,,,2009,581.92,39.18,-2.47,-0.11,59.8,-0.85,83.56,6.93,-0.04,2.62,0.01,33.51,73.41,71.9,54.89,45.58,39.4,33.36,43.2,55.32,71.14,72.14,52.72,48.76,72.65,50.23,38.65,62.83,48.76,54.63
2,Akershus,Fylke,2,Akershus,,,2010,576.15,12.49,1.6,1.17,60.92,-0.26,83.39,7.44,0.28,3.11,0.81,33.48,71.87,67.69,92.43,75.15,51.4,41.51,39.53,68.62,75.64,87.83,85.16,49.71,69.78,83.79,44.15,79.32,49.71,65.35
2,Akershus,Fylke,2,Akershus,,,2011,647.35,52.46,2.69,1.14,59.99,-0.43,83.42,7.22,-0.11,3.04,0.38,33.81,82,79.44,75.18,77.44,39.74,35.47,35.02,54.24,68.04,76.61,66.32,50.78,80.72,76.31,36.74,66.3,50.78,62.17
2,Akershus,Fylke,2,Akershus,,,2012,664.23,44.86,1.55,0.26,62.48,-0.21,83.58,7.94,0.08,4.53,-0.14,33.68,79,78.15,67.4,61.52,46.57,41.27,36.12,63.29,73.31,80.81,45.79,50.82,78.58,64.46,41.32,65.8,50.82,60.2
2,Akershus,Fylke,2,Akershus,,,2013,647.77,40.99,1.09,0.45,63.24,0.53,84.36,7.88,0.11,3.52,0.31,33.43,76.84,75.02,70.08,67.72,60.57,55.98,42.53,64.43,72.71,76.8,74.52,50.93,75.93,68.9,53.03,72.11,50.93,64.18
2,Akershus,Fylke,2,Akershus,,,2014,686.2,41.17,2.09,0.99,62.28,0.54,83.37,7.69,0.03,3.03,0.19,33.58,76.82,75.15,79.08,79.29,59.58,55.57,41.69,60.83,70.24,72.69,65.54,51.47,75.99,79.18,52.28,67.33,51.47,65.25
