Nr,Navn,Inndeling,Fnr,Fylke,Rnr,Region,Aar,Produktivitet,Produktivitet Bransjejustert,Arbeidsplassvekst,Arbeidsplassvekst Bransjejustert,Lonnsomhet,Lonnsomhet Bransjejustert,Egenkapital,Etableringsfrekvens,Etableringsfrekvens Bransjejustert,Foretaksvekst,Foretaksvekst Bransjejustert,Storrelse,Produktivitet Score,Produktivitet Bransjejustert Score,Arbeidsplassvekst Score,Arbeidsplassvekst Bransjejustert Score,Lonnsomhet Score,Lonnsomhet Bransjejustert Score,Egenkapital Score,Etableringsfrekvens Bransjejustert Score,Etableringsfrekvens Score,Foretaksvekst Score,Foretaksvekst Bransjejustert Score,Storrelse Score,Produktivitet Indeks,Arbeidsplassvekst Indeks,Lonnsomhet Indeks,Nyetableringer Indeks,Storrelse Indeks,Naringsindeksen
0,Norge,Land,,,,,2009,527,0,-2.64,0,60.32,0,83.67,6.41,0,2.27,0,36.6,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2010,543,0,0.32,0,60.77,0,83.74,6.59,0,1.93,0,36.28,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2011,567,0,1.6,0,60.11,0,84.01,6.8,0,2.41,0,36.39,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2012,598,0,1.17,0,62.43,0,84.14,7.34,0,3.62,0,36.33,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2013,589,0,0.5,0,62.5,0,84.59,7.3,0,2.88,0,36.04,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2014,624,0,1.18,0,61.58,0,83.66,7.22,0,2.61,0,36.06,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2015,684,0,-5.17,0,60.66,0,83.37,7.43,0,2.05,0,33.82,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2016,729,0,-0.18,0,60.34,0,83.2,7.44,0,2.74,0,33.44,,,,,,,,,,,,,,,,,,
1,Østfold,Fylke,1,Østfold,,,2009,417,-59,-4.28,-1.15,59.49,-0.97,82.43,6.22,-0.14,1.93,-0.18,30.2,39.4,42.56,19.51,23.89,34.8,31.8,24.94,50.25,55.67,46.68,37.5,37.45,40.98,21.7,30.51,47.52,37.45,35.63
1,Østfold,Fylke,1,Østfold,,,2010,443,-70,-0.37,-0.13,61.51,0.59,82.46,6.47,-0.06,1.84,0.14,29.75,38.67,40.13,36.05,40.6,61.12,55.14,26,55.4,57.5,55.99,57.8,36.59,39.4,38.33,47.42,56.67,36.59,43.68
1,Østfold,Fylke,1,Østfold,,,2011,453,-74,0.32,-1.03,61.82,1.42,83,6.6,-0.23,2.08,-0.76,29.5,37.37,39.34,38.65,39.32,64.05,60.32,29.31,49.31,56,49.34,35.12,35.96,38.36,38.99,51.23,47.44,35.96,42.39
1,Østfold,Fylke,1,Østfold,,,2012,501,-67,-0.59,-1.06,63.61,0.92,82.92,7.25,-0.13,3.38,-0.15,28.95,41.92,41.71,27.15,28.57,63.77,58.04,27.54,53.69,58.99,54.18,45.29,34.69,41.82,27.86,49.78,53.04,34.69,41.44
