Nr,File
1,Østfold_våpen.svg
2,Akershus_våpen.svg
3,Oslo_våpen.svg
4,Hedmark_våpen.svg
5,Oppland_våpen.svg
6,Buskerud_våpen.svg
7,Vestfold_våpen.svg
8,Telemark_våpen.svg
9,Aust-Agder_våpen.svg
10,Vest-Agder_våpen.svg
11,Rogaland_våpen.svg
12,Hordaland_våpen.svg
14,Sogn og Fjordane_våpen.svg
15,Møre og Romsdal_våpen.svg
16,Sør-Trøndelag_våpen.svg
17,Nord-Trøndelag_våpen.svg
18,Nordland_våpen.svg
19,Troms_våpen.svg
20,Finnmark_våpen.svg
101,Halden_komm.svg
104,Moss_komm.svg
105,Sarpsborg_komm.svg
106,Fredrikstad_komm.svg
111,Hvaler_komm.svg
118,Aremark_komm.svg
119,Marker_komm.svg
121,Rømskog_komm.svg
122,Trøgstad_komm.svg
123,Spydeberg_komm.svg
124,Askim_komm.svg
125,Eidsberg_komm.svg
127,Skiptvet_komm.svg
128,Rakkestad_komm.svg
135,Råde_komm.svg
136,Rygge_komm.svg
137,Våler_Østfold_komm.svg
138,Hobøl_komm.svg
211,Vestby_komm.svg
213,Ski_komm.svg
214,Ås_komm.svg
215,Frogn_komm.svg
216,Nesodden_komm.svg
217,Oppegård_komm.svg
219,Bærum_komm.svg
220,Asker_komm.svg
221,Aurskog-Høland_komm.svg
226,Sørum_komm.svg
227,Fet_komm.svg
228,Rælingen_komm.svg
229,Enebakk_komm.svg
230,Lørenskog_komm.svg
231,Skedsmo_komm.svg
233,Nittedal_komm.svg
234,Gjerdrum_komm.svg
235,Ullensaker_komm.svg
236,Nes_Akershus_komm.svg
237,Eidsvoll_komm.svg
238,Nannestad_komm.svg
239,Hurdal_komm.svg
301,Oslo_komm.svg
402,Kongsvinger_komm.svg
403,Hamar_komm.svg
412,Ringsaker_komm.svg
415,Løten_komm.svg
417,Stange_komm.svg
418,Nord-Odal_komm.svg
419,Sør-Odal_komm.svg
420,Eidskog_komm.svg
423,Grue_komm.svg
425,Åsnes_komm.svg
426,Våler_Hedmark_komm.svg
427,Elverum_komm.svg
428,Trysil_komm.svg
429,Åmot_komm.svg
430,Stor-Elvdal_komm.svg
432,Rendalen_komm.svg
434,Engerdal_komm.svg
436,Tolga_komm.svg
437,Tynset_komm.svg
438,Alvdal_komm.svg
439,Folldal_komm.svg
441,Os_Hedmark_komm.svg
501,Lillehammer_komm.svg
502,Gjøvik_komm.svg
511,Dovre_komm.svg
512,Lesja_komm.svg
513,Skjåk_komm.svg
514,Lom_komm.svg
515,Vågå_komm.svg
516,Nord-Fron_komm.svg
517,Sel_komm.svg
519,Sør-Fron_komm.svg
520,Ringebu_komm.svg
521,Øyer_komm.svg
522,Gausdal_komm.svg
528,Østre_Toten_komm.svg
529,Vestre_Toten_komm.svg
532,Jevnaker_komm.svg
533,Lunner_komm.svg
534,Gran_komm.svg
536,Søndre_Land_komm.svg
538,Nordre_Land_komm.svg
540,Sør-Aurdal_komm.svg
541,Etnedal_komm.svg
542,Nord-Aurdal_komm.svg
543,Vestre_Slidre_komm.svg
544,Øystre_Slidre_komm.svg
545,Vang_komm.svg
602,Drammen_komm.svg
604,Kongsberg_komm.svg
605,Ringerike_komm.svg
612,Hole_komm.svg
615,Flå_komm.svg
616,Nes_Buskerud_komm.svg
617,Gol_komm.svg
618,Hemsedal_komm.svg
619,Ål_komm.svg
620,Hol_komm.svg
621,Sigdal_komm.svg
622,Krødsherad_komm.svg
623,Modum_komm.svg
624,Øvre_Eiker_komm.svg
625,Nedre_Eiker_komm.svg
626,Lier_komm.svg
627,Røyken_komm.svg
628,Hurum_komm.svg
631,Flesberg_komm.svg
632,Rollag_komm.svg
633,Nore_og_Uvdal_komm.svg
701,Horten_komm.svg
702,Holmestrand_komm.svg
704,Tønsberg_komm.svg
709,Larvik_komm.svg
710,Sandefjord_komm.svg
711,Svelvik_komm.svg
713,Sande_Vestfold_komm.svg
714,Hof_komm.svg
716,Re_komm.svg
722,Nøtterøy_komm.svg
723,Tjøme_komm.svg
728,Lardal_komm.svg
805,Porsgrunn_komm.svg
806,Skien_komm.svg
807,Notodden_komm.svg
811,Siljan_komm.svg
814,Bamble_komm.svg
815,Kragerø_komm.svg
817,Drangedal_komm.svg
819,Nome_komm.svg
821,Bø_Telemark_komm.svg
822,Sauherad_komm.svg
826,Tinn_komm.svg
827,Hjartdal_komm.svg
828,Seljord_komm.svg
829,Kviteseid_komm.svg
830,Nissedal_komm.svg
831,Fyresdal_komm.svg
833,Tokke_komm.svg
834,Vinje_komm.svg
901,Risør_komm.svg
904,Grimstad_komm.svg
906,Arendal_komm.svg
911,Gjerstad_komm.svg
912,Vegårshei_komm.svg
914,Tvedestrand_komm.svg
919,Froland_komm.svg
926,Lillesand_komm.svg
928,Birkenes_komm.svg
929,Åmli_komm.svg
935,Iveland_komm.svg
937,Evje_og_Hornnes_komm.svg
938,Bygland_komm.svg
940,Valle_komm.svg
941,Bykle_komm.svg
1001,Kristiansand_komm.svg
1002,Mandal_komm.svg
1003,Farsund_komm.svg
1004,Flekkefjord_komm.svg
1014,Vennesla_komm.svg
1017,Songdalen_komm.svg
1018,Søgne_komm.svg
1021,Marnardal_komm.svg
1026,Åseral_komm.svg
1027,Audnedal_komm.svg
1029,Lindesnes_komm.svg
1032,Lyngdal_komm.svg
1034,Hægebostad_komm.svg
1037,Kvinesdal_komm.svg
1046,Sirdal_komm.svg
1101,Eigersund_komm.svg
1102,Sandnes_komm.svg
1103,Stavanger_komm.svg
1106,Haugesund_komm.svg
1111,Sokndal_komm.svg
1112,Lund_komm.svg
1114,Bjerkreim_komm.svg
1119,Hå_komm.svg
1120,Klepp_komm.svg
1121,Time_komm.svg
1122,Gjesdal_komm.svg
1124,Sola_komm.svg
1127,Randaberg_komm.svg
1129,Forsand_komm.svg
1130,Strand_komm.svg
1133,Hjelmeland_komm.svg
1134,Suldal_komm.svg
1135,Sauda_komm.svg
1141,Finnøy_komm.svg
1142,Rennesøy_komm.svg
1144,Kvitsøy_komm.svg
1145,Bokn_komm.svg
1146,Tysvær_komm.svg
1149,Karmøy_komm.svg
1151,Utsira_komm.svg
1160,Vindafjord_komm.svg
1201,Bergen_komm.svg
1211,Etne_komm.svg
1216,Sveio_komm.svg
1219,Bømlo_komm.svg
1221,Stord_komm.svg
1222,Fitjar_komm.svg
1223,Tysnes_komm.svg
1224,Kvinnherad_komm.svg
1227,Jondal_komm.svg
1228,Odda_komm.svg
1231,Ullensvang_komm.svg
1232,Eidfjord_komm.svg
1233,Ulvik_komm.svg
1234,Granvin_komm.svg
1235,Voss_komm.svg
1238,Kvam_komm.svg
1241,Fusa_komm.svg
1242,Samnanger_komm.svg
1243,Os_Hordaland_komm.svg
1244,Austevoll_komm.svg
1245,Sund_komm.svg
1246,Fjell_komm.svg
1247,Askøy_komm.svg
1251,Vaksdal_komm.svg
1252,Modalen_komm.svg
1253,Osterøy_komm.svg
1256,Meland_komm.svg
1259,Øygarden_komm.svg
1260,Radøy_komm.svg
1263,Lindås_komm.svg
1264,Austrheim_komm.svg
1265,Fedje_komm.svg
1266,Masfjorden_komm.svg
1401,Flora_komm.svg
1411,Gulen_komm.svg
1412,Solund_komm.svg
1413,Hyllestad_komm.svg
1416,Høyanger_komm.svg
